,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%, ,eFG%,TOV%,ORB%,FT/FGA, ,eFG%,TOV%,DRB%,FT/FGA,Season Year
136,Miami Heat,28.7,7,7,.500,9,5,105.1,101.7,+3.4,90.2,.264,.238,.539,,.500,12.8,23.0,.202,,.451,10.4,80.5,.241,2016
137,Indiana Pacers,26.4,3,4,.429,4,3,105.5,103.9,+1.6,88.8,.319,.284,.549,,.495,14.5,23.5,.261,,.437,12.8,67.2,.246,2016
138,Los Angeles Clippers,29.3,2,4,.333,3,3,104.9,103.9,+1.0,93.7,.345,.229,.502,,.471,9.0,23.5,.216,,.467,12.0,71.3,.193,2016
139,Atlanta Hawks,28.3,4,6,.400,5,5,103.5,104.5,-1.0,95.7,.242,.375,.533,,.494,13.3,20.7,.192,,.487,12.7,75.0,.175,2016
140,Portland Trail Blazers,24.8,5,6,.455,5,6,108.1,110.7,-2.6,96.2,.287,.351,.523,,.483,11.5,26.6,.212,,.507,10.1,75.5,.220,2016
141,Toronto Raptors,26.1,10,10,.500,7,13,102.8,107.5,-4.7,89.4,.301,.282,.507,,.463,12.4,25.1,.222,,.514,13.6,77.3,.237,2016
142,Boston Celtics,25.0,2,4,.333,2,4,93.8,100.5,-6.7,98.3,.235,.352,.475,,.432,12.9,21.5,.184,,.481,13.3,80.6,.191,2016
143,Charlotte Hornets,26.9,3,4,.429,1,6,99.2,109.0,-9.8,91.0,.309,.231,.494,,.432,9.4,15.9,.259,,.517,11.8,75.9,.186,2016
144,Detroit Pistons,24.1,0,4,.000,1,3,109.4,119.2,-9.8,86.8,.292,.309,.559,,.537,11.0,18.4,.189,,.546,8.6,75.5,.147,2016
145,Houston Rockets,28.5,1,4,.200,0,5,92.7,111.8,-19.1,98.4,.320,.332,.467,,.430,16.3,29.9,.206,,.552,12.9,77.1,.199,2016
146,Dallas Mavericks,30.4,1,4,.200,0,5,102.1,122.0,-19.9,91.8,.298,.264,.511,,.474,11.4,21.5,.207,,.537,12.0,65.5,.278,2016
147,Memphis Grizzlies,30.8,0,4,.000,0,4,90.9,115.6,-24.7,89.1,.215,.197,.455,,.423,14.8,28.8,.151,,.552,13.7,77.3,.246,2016
148,Golden State Warriors,26.4,16,5,.762,16,5,108.7,100.5,+8.2,93.7,.263,.362,.550,,.521,13.5,26.2,.184,,.458,13.1,75.3,.228,2015
149,Cleveland Cavaliers,26.6,14,6,.700,13,7,107.4,103.1,+4.3,90.7,.325,.347,.524,,.479,12.0,28.1,.240,,.467,11.1,77.5,.209,2015
150,Washington Wizards,27.5,6,4,.600,6,4,105.8,101.7,+4.1,94.6,.280,.276,.533,,.497,13.3,26.8,.202,,.470,12.2,77.2,.177,2015
151,Chicago Bulls,28.7,6,6,.500,7,5,104.4,100.7,+3.7,90.4,.257,.294,.515,,.474,13.1,26.8,.199,,.452,11.8,74.3,.198,2015
152,Los Angeles Clippers,28.8,7,7,.500,8,6,108.4,107.1,+1.3,98.7,.361,.300,.548,,.515,11.8,21.3,.241,,.505,12.5,75.0,.250,2015
153,San Antonio Spurs,30.3,3,4,.429,4,3,107.8,107.3,+0.5,94.5,.298,.307,.536,,.505,11.2,24.8,.203,,.509,11.5,78.6,.224,2015
154,Atlanta Hawks,27.7,8,8,.500,8,8,103.4,103.6,-0.2,93.5,.227,.335,.521,,.484,11.9,21.6,.178,,.486,12.9,74.7,.184,2015
155,Memphis Grizzlies,30.3,6,5,.545,5,6,103.0,104.4,-1.4,91.9,.270,.166,.503,,.451,10.5,23.7,.225,,.501,14.1,77.2,.192,2015
156,Houston Rockets,28.8,9,8,.529,7,10,106.6,109.0,-2.4,101.5,.440,.330,.544,,.505,13.5,23.8,.288,,.514,12.5,74.4,.210,2015
